Show;Name;Acronym;Tag1;Tag2;Tag3;Description
YES;JSON Web Key Set;JKU (JWKS Url);microservice;security;api;The JSON Web Key Set (JWKS) URL is a URI that refers to a resource containing a set of JSON-encoded public keys. It is used to verify the signature of a signed JWT.
YES;JSON Web Token;JWT;api;microservice;security;JSON Web Token (JWT) is a compact, URL-safe token format used for securely transmitting information between parties. JWTs are commonly used for authentication and authorization in web applications.
YES;JUnit;JUnit;testing;;;JUnit is a popular testing framework for Java. It provides annotations and assertions for writing unit tests. JUnit ensures code correctness and reliability.
YES;JVM;JVM;java;;;Java Virtual Machine (JVM) is an execution environment for running Java applications. JVM interprets Java bytecode and provides platform independence.
YES;JWSId;JWSId;api;security;;JWSId (JSON Web Signature Identifier) is an identifier used in JSON Web Tokens (JWTs). It uniquely identifies the signing key used to create the JWT.
YES;JWT - Audience;;api;;;Identifies the recipient of the JWT token tt belongs to.
YES;Kafka;;gluon;tools;;Apache Kafka is a distributed event streaming platform. It is used for real-time data processing, messaging, and event-driven architectures.
YES;Kanban;;gluon;;;Kanban is an agile project management methodology that visualizes work as cards on a board. It emphasizes continuous flow, limiting work in progress, and optimizing efficiency.
YES;Kernel-based Virtual Machine;KVM;app360;api;;Kernel-based Virtual Machine (KVM) is a virtualization solution for Linux. KVM allows running multiple virtual machines (VMs) on a single physical host.
YES;Key Identifier;KID;security;;;KID (Key Identifier) is a term often used in cryptography and security contexts. It refers to a unique identifier associated with cryptographic keys.
YES;Key Manager;;microservice;security;;A system or software component responsible for managing cryptographic keys, including their generation, storage, and distribution.
YES;Key Performance Indicator;KPI;insights;;;KPIs are quantifiable measurements used to evaluate a company’s overall long-term performance. They help track progress toward goals.
YES;Key Performance Indicator;KPI;api;;;Business metric and technique identified at a high level in the conceptualization phase. Regarding APIs, a KPI provides help to visualize the value of the APIs that are being built, as well as ensures compliance with the established SLAs.
YES;keystore;;microservice;security;;A keystore is a secure storage location for cryptographic keys, certificates, and secrets. It is commonly used for SSL/TLS encryption and authentication.
YES;keytool;;microservice;security;;keytool is a command-line utility in Java for managing keys and certificates in a keystore. It is used for SSL certificate management.
YES;Kibana;;observability;tools;;Kibana is an open-source data visualization and exploration tool for analyzing and visualizing data stored in Elasticsearch. It is commonly used for log analysis and monitoring.
YES;Kubernetes;;app360;;;Kubernetes is an open-source container orchestration platform. It automates deployment, scaling, and management of containerized applications.
YES;Kubernetes Cluster;;app360;;;A Kubernetes Cluster is a set of nodes (physical or virtual machines) that run containerized applications. It includes a control plane (master) and worker nodes.
YES;Kubernetes Pod;;app360;;;A Kubernetes Pod is the smallest deployable unit in a Kubernetes cluster. It represents a single instance of a running process and can contain one or more containers.
YES;Lightweight Directory Access Protocol;LDAP;gluon;security;;Lightweight Directory Access Protocol (LDAP) is a protocol for accessing and managing directory services. It’s commonly used for user authentication.
YES;Linter;;testing;;;Linters analyze code for potential errors, style violations, and best practices. They help improve code quality and consistency.
YES;Local Head of APIs;LHA;api;;;LHA (Local Head of APIs) likely refers to a role responsible for managing APIs within a specific region or locality. The LHA oversees API development, deployment, and governance.
YES;Log;;observability;;;Logs are records of events or activities generated by software applications. They provide insights into system behavior, errors, and performance.
YES;Log Level;;observability;;;Defines the severity or verbosity of log messages generated by an application. Common levels include DEBUG, INFO, WARN, and ERROR.
YES;Log Record;;observability;;;A log record is an individual entry in a log file. It contains information about a specific event, including timestamps, severity, and relevant data.
YES;Long-Term Support;LTS;gluon;;;Long-Term Support (LTS) refers to software versions that receive extended support and security updates. LTS versions are stable and recommended for production use.
YES;Major Release;;release;;;A major release indicates significant changes or new features in software. It often involves backward-incompatible changes.
YES;Markdownlint;;docs;;;markdownlint is a tool for analyzing and enforcing consistent Markdown formatting and style. It helps maintain readability and consistency in documentation.
YES;Maven;;java;;;Maven is a build automation and project management tool. It uses XML-based configuration files (pom.xml) to manage dependencies, build lifecycle, and project structure.
YES;MegaByte;MB;gluon;;;Megabyte (MB) is a unit of digital information storage. It is approximately equal to 1 million bytes.
YES;Message Digest Algorithm 5;MD5;security;;;MD5 (Message Digest Algorithm 5) is a widely used hash function that produces a fixed-size hash value (128 bits) from input data.
YES;Message Queue;MQ;arsenal;;;Message Queue (MQ) is a communication mechanism that allows asynchronous message exchange between distributed systems. It ensures reliable message delivery.
YES;Metadata;;gluon;;;Metadata refers to data that describes other data. It provides context, structure, and information about the content or format of a dataset.
YES;Metric;;insights;;;A metric is a quantitative measurement used to assess performance, behavior, or quality. Metrics can include response time, error rate, throughput, and more.
YES;Microfocus;;gluon;tools;;Micro Focus provides tools for application development, testing, and IT operations.
YES;Microfront;;front;;;Microfrontends extend the philosophy of microservices to the front end of web applications. They break down a web application into smaller, autonomous modules or functions.
YES;microservice;;microservice;;;A microservice, also known as the microservices architecture, is an architectural style that structures an application as a collection of small autonomous services, modeled around a business domain. Each microservice runs in its own process and communicates with others using standard protocols such as HTTP/HTTPS. This approach allows for independent deployment of different parts of a system, increased scalability, and fault isolation which can result in improved resilience and flexibility.
YES;Minor Release;;release;;;A minor release includes smaller enhancements, bug fixes, and improvements. It maintains backward compatibility.
YES;Mkdocs;;docs;;;MkDocs is a static site generator for creating documentation websites from Markdown files. It simplifies the process of building and maintaining documentation.
YES;Model-View-Controller;MVC;gluon;;;Model-View-Controller (MVC) is a design pattern for organizing code in web applications. It separates data (model), presentation (view), and user interaction (controller).
YES;MongoDB;;gluon;tools;;MongoDB is a NoSQL database management system that stores data in a flexible, JSON-like format. It is commonly used for handling large volumes of unstructured data.
YES;Mozilla Developer Network;MDN;front;;;Mozilla Developer Network (MDN) is a comprehensive resource for web developers. It provides documentation, tutorials, and guides related to web technologies.
YES;Multypurpose Internet Main Extension Type;MIME Type;front;;;A Multipurpose Internet Mail Extension (MIME) type specifies the format of a file or data. It is used in HTTP headers to indicate content type.
YES;Mutual Transport Layer Security;mTLS;arsenal;;;Mutual Transport Layer Security (mTLS) is a security mechanism where both the client and server authenticate each other using digital certificates. It enhances communication security.
YES;Namespace;;app360;;;In Kubernetes, a namespace provides a way to isolate resources within a cluster. It allows multiple virtual clusters to coexist within the same physical cluster.
YES;National Institute of Standard;NIST;security;;;The National Institute of Standards and Technology (NIST) is a U.S. government agency that develops and promotes standards and guidelines for technology, including cybersecurity.
YES;Nginx;;gluon;tools;;Nginx (pronounced “engine-x”) is a popular open-source web server and reverse proxy server. It is known for its high performance, scalability, and efficient handling of concurrent connections.
YES;Node Package Manager;NPM;javascript;microservice;;Node Package Manager (NPM) is a package manager for Node.js. It allows developers to install, manage, and share JavaScript libraries and tools.
YES;NodeJS;;javascript;;;Node.js is a JavaScript runtime environment that allows developers to run JavaScript code on the server-side.
YES;Non-Functional Requirement;NFR;testing;;;NFRs (Non-Functional Requirements) describe how a system should perform (e.g., performance, security, scalability).
YES;NoSQL;;gluon;;;NoSQL databases (Not Only SQL) are non-relational databases that provide flexible data models. They are suitable for handling unstructured or semi-structured data.
YES;OAuth version 2.0;Oauth;api;security;microservice;OAuth (Open Authorization) is an open standard for secure authorization. It allows users to grant third-party applications limited access to their resources without sharing their credentials. OAuth is commonly used for API authentication.
YES;Oauth 2.0 Scope;;api;;;Scope is a mechanism in OAuth 2.0 to limit an application's access to a user's account. An application can request one or more scopes, this information is then presented to the user in the consent screen, and the access token issued to the application will be limited to the scopes granted.
YES;OAuth Server;OS;security;api;microservice;OAuth Server (OS) is a component that handles authentication and authorization for applications. It allows users to grant permissions to third-party applications without sharing their credentials. OAuth is commonly used for secure API access.
YES;Object Identifier;objectId;security;;;An objectId is a unique identifier assigned to a document in a MongoDB database. It is commonly used for database indexing and querying.
YES;Omnichannel;;darwin;;;Omnichannel refers to a seamless and integrated customer experience across multiple channels (e.g., web, mobile, in-store). It ensures consistency and continuity in interactions.
YES;Onboard;;gluon;;;Onboard refers to the process of integrating new employees or users into an organization or system. It includes training, orientation, and familiarization.
YES;Open Telemetry;OTel;observability;;;OpenTelemetry (OTel) is an open-source observability framework for collecting, processing, and exporting telemetry data from applications. It helps monitor and troubleshoot distributed systems.
YES;Open Telemetry Protocol;OTLP;observability;;;OpenTelemetry Protocol (OTLP) is a protocol used by OpenTelemetry to transmit telemetry data between agents, collectors, and backends. It ensures interoperability and consistency in observability data collection.
YES;Open Web Application Security Project;OWASP;security;;;The Open Web Application Security Project (OWASP) is a nonprofit organization that focuses on improving the security of software. It provides resources, tools, and best practices for secure web development.
YES;OpenAPI;OpenAPI;api;;;OpenAPI (formerly known as Swagger) is a specification for defining RESTful APIs. It provides a standard way to describe API endpoints, request/response formats, and authentication methods.
YES;OpenAPI Specification 3;OAS3;api;;;OpenAPI Specification 3 (OAS3) is a standard for defining RESTful APIs. It provides a machine-readable format for describing API endpoints, request/response formats, authentication methods, and more.
YES;OpenID;;security;;;An open standard for authentication that allows users to log in to multiple websites using a single set of credentials. It is often used for single sign-on (SSO).
YES;OpenID Connect;OIDC;security;;;An OpenID Connect (OIDC) Provider is an authentication service that issues identity tokens and provides user authentication and authorization. It allows clients (applications) to authenticate users using OAuth 2.0 and OIDC flows.
YES;Openshift;;app360;tools;;OpenShift is a container platform by Red Hat for deploying, managing, and scaling containerized applications.
YES;Oracle Public Cloud Development Kit;OPDK;api;tools;;Oracle Public Cloud Development Kit (OPDK) is a set of tools and libraries for developing applications on Oracle Cloud. OPDK provides APIs, SDKs, and other resources.
YES;ORBIS;;apm;;;Santander Applications Business Catalog. Legacy component that will be replaced by APM (Application Portfolio Manager) Component
YES;Organization;ORG;gluon;;;Generally speaking, an Organization refers to Company. In GitHub, an Organization is a logical structure that gathers a set of users, policies, repositories. In most cases, a GitHub organization matches one company.
YES;Organization;;api;;;Logical group which manages a set of APIs
YES;Partenon;;;;;"Partenon is a Platform that allows the development and optimum execution of Business applications in Mainframe. It can run under z/OS environments (COBOL/CICS/DB2), where includes the control of the developed ""Partenon"" software, and also in OHE/GCP environments, where the control of the developed ""Partenon"" software is delegated to the ALM"
YES;Password;PWD, PASS;gluon;;;The terms refer to passwords. PWD stands for password, and PASS is an abbreviation for the same. Both are related to user authentication.
YES;Patch Release;;release;;;A patch release contains only bug fixes or security updates. It does not introduce new features.
YES;Payment Card Industry Data Security Standard ;PCI-DSS;security;;;The Payment Card Industry Data Security Standard (PCI-DSS) is a set of security requirements for protecting credit card data. It applies to organizations that handle payment card transactions.
YES;Peer-to-Peer;P2P;arsenal;;;Peer-to-Peer (P2P) refers to a network architecture where nodes (computers) communicate directly with each other without a central server. P2P networks are decentralized.
YES;PHP;;gluon;;;PHP is a widely-used server-side scripting language for web development. It allows creating dynamic web pages.
YES;Plain Old Java Object;POJO;java;;;Plain Old Java Object (POJO) is a Java class that does not depend on any specific framework or library. POJOs are simple and reusable.
YES;Podman;;app360;;;Podman is a container management tool similar to Docker. It allows users to create, run, and manage containers without requiring a daemon process.
YES;Postman;;api;testing;;Postman is a popular API testing tool that allows developers to create, test, and manage APIs.
YES;Post-mortem;;gluon;;;A post-mortem is an analysis conducted after an incident to identify the root cause and prevent similar issues.
YES;Powershell;Pwsh;gluon;;;Pwsh (PowerShell) is a cross-platform automation and configuration management framework for managing Windows and Linux.
YES;Preproduction Environment;PRE;gluon;;;Preproduction refers to the environment or stage before a software application is deployed to production. It is used for testing, validation, and final preparations.
YES;Privacy-Enhanced Mail;PEM;security;;;Privacy-Enhanced Mail (PEM) is a standard for secure email communication. It defines formats for certificates, keys, and encrypted messages.
YES;Product Owner;PO;gluon;;;Product Owner is a person dedicated to maximizing the value of a product by defining features, prioritizing backlog items, and ensuring effective collaboration with the development team.
YES;Production Environment;PRO;gluon;;;Production refers to the environment where applications are exposed to the end user. Where the business happens.
YES;Project Object Model - Maven;POM;java;microservice;;POM (Project Object Model) is an XML file used in Maven projects. It defines project information, dependencies, and build configuration.
YES;Proof Key for Code Exchange;PKCE;front;;;Proof Key for Code Exchange is an OAuth 2.0 extension used to secure authorization code flow in public clients (e.g., mobile apps).
YES;Protobuf;proto;arsenal;;;Refers to Protocol Buffers (protobufs), a language-agnostic data serialization format used for efficient communication and data exchange.
YES;Proxy;;api;microservice;;A proxy server acts as an intermediary between clients and servers. It can cache content, filter requests, and enhance security.
YES;Public Key Manager;PKM;security;;;Public Key Manager allows obtaining a public key stored in a Java KeyStore (.jks), from MongoDB using a key identifier (also known as aliases) and the public key issuer, from PKM’s configuration file or from an external JWKS public key provider using the key identifier and the uri of the JWKS server.
YES;Pull Request;PR;gluon;;;A pull request (PR) is a feature in Git-based systems (such as GitHub or GitLab) that allows developers to propose changes to a codebase. It facilitates code review and collaboration.
YES;Quality Assurance;QA;testing;;;Quality Assurance (QA) is the process of ensuring that software meets specified quality standards. QA involves testing, bug tracking, and verifying that the software functions correctly.
YES;Read and Write;R/W;gluon;;;The terms “R/W” and “RW” likely refer to read/write permissions. R/W stands for read/write, and RW is an abbreviation for the same. Both relate to access control for files and resources.
YES;Reactive Application;;front;microservice;;Reactive Applications are designed to handle asynchronous and event-driven programming. They use reactive programming principles for scalability and responsiveness.
YES;Rebase - Git;;gluon;;;Rebase is a Git operation that integrates changes from one branch into another. It rewrites commit history and ensures a linear sequence of commits.
YES;Red Hat Data Grid;RHDG;darwin;;;Red Hat Data Grid (RHDG) is an in-memory data grid solution for caching and managing large datasets.
YES;Redirection - HTTP;;front;security;;Redirections refer to HTTP status codes (e.g., 301, 302) used to redirect clients from one URL to another. They are commonly used for URL changes or site migrations.
YES;Redis;;microservice;security;tools;Redis is an in-memory data structure store. It is used as a cache, message broker, and key-value database. Redis supports various data structures like strings, lists, and sets.
YES;Registry - container;;app360;;;A registry is a repository for storing and distributing container images. It allows users to share and download images for use in containerized applications.
YES;Release;;release;;;A software release is a version of a product that is made available to users. Releases include new features, bug fixes, and improvements.
YES;Release Candidate;RC;release;;;A release candidate (RC) is a pre-release version of software that is close to the final release. It undergoes testing before the official release.
YES;Release Notes;;release;;;Release notes provide information about changes, enhancements, and known issues in a software release. They help users understand what's new.
YES;Remote Procedure Call;RPC;microservice;;;Remote Procedure Call (RPC) is a protocol that allows a program to execute a procedure or function on a remote server. It enables inter-process communication.
YES;Replicasets;;darwin;;;Replicasets are objects in Kubernetes that ensure a specified number of replicas (pods) are running at all times. They help with scaling and high availability.
YES;Replicationcontrollers;;darwin;;;Replicationcontrollers (deprecated in favor of Replicasets) are Kubernetes objects that manage the desired number of pod replicas. They ensure that the specified replicas are maintained.
YES;Representational State Transfer;REST;api;front;microservice;Representational State Transfer (REST) is an architectural style for designing networked applications. RESTful APIs use standard HTTP methods and follow principles such as statelessness and resource-based URLs.
YES;Request For Comments;RFC;api;security;;Request for Comments (RFC) is a document series that defines standards, protocols, and guidelines for the internet. RFCs are developed by the Internet Engineering Task Force (IETF).
YES;Resource Owner Password;ROP;darwin;;;A grant type in OAuth 2.0 where the resource owner (user) provides their username and password directly to the client application.
YES;Resource Owner Token Credentials;ROTC;darwin;;;A grant type in OAuth 2.0 where the resource owner (user) provides their credentials directly to the client application.
YES;REST Domain-Specific Language;RestDSL;arsenal;;;RestDSL is a domain-specific language for defining RESTful services in Apache Camel. It simplifies route configuration for REST endpoints.
YES;Restful Services;;microservice;api;;Restful services follow the principles of Representational State Transfer (REST). They use standard HTTP methods (GET, POST, PUT, DELETE) and resource-based URLs for communication.
YES;Reusability;;front;;;Reusability refers to designing software components or modules in a way that allows them to be used in multiple contexts or projects. It promotes efficiency and maintainability.
YES;Revised Payment Services Directive ;PSD2;security;;;The Revised Payment Services Directive is an EU regulation that aims to improve payment security, promote competition, and enhance consumer protection in the financial industry.
YES;Rivest-Shamir-Adleman;RSA;security;;;RSA (Rivest-Shamir-Adleman) is a widely used asymmetric encryption algorithm. It is used for secure data transmission and digital signatures.
YES;Role-Based Access Control;RBAC;front;;;Role-Based Access Control is a security model where access permissions are assigned based on predefined roles. Users are granted access based on their roles within an organization.
YES;Rollout;;gluon;;;Rollouts refer to the process of deploying new versions of software or updates to production systems. It can involve gradual deployment, canary releases, or blue-green deployments.
YES;Rulesets;;observability;;;Rulesets refer to predefined sets of rules or policies used for validation, compliance, or configuration management. They define standards and guidelines for specific contexts.
YES;Runner;;app360;;;In the context of continuous integration (CI), a runner is an agent responsible for executing CI/CD pipelines. It runs jobs defined in a CI configuration file.
YES;Safe Operation;;api;;;The safe operations do not imply any danger in their execution, so the state of any resource will not be altered or a new one will be generated.
YES;Sailpoint;;security;;;SailPoint is an identity governance platform used for managing user identities, access controls, and compliance. It ensures secure and efficient access to applications and resources.
YES;Santander OAuth Server;SOS;security;microservice;api;Santander OAuth Server (SOS) is a specific implementation of an OAuth server used by Santander Bank. It provides secure access to Santander’s APIs for authorized applications.
YES;Sassy Cascading Style Sheets;SCSS;front;;;Advanced version of CSS that adds several extra features as variables or nesting,
YES;SCC;;front;darwin;security;Legacy security component to provide User Credentials. It's being replaced by the Security Token Service (STS)
YES;Secret;;app360;security;;Sensitive information (such as passwords, API keys, or cryptographic keys) that should be kept confidential. Proper management of secrets is crucial for security.
YES;Secure Development;;security;;;Secure Development refers to the practice of writing code and designing software with security in mind. It includes secure coding practices and threat modeling.
YES;Secure Hash Algorithm 512;SHA-512;security;;;SHA-512 (Secure Hash Algorithm 512) is a cryptographic hash function that produces a fixed-size hash value (512 bits). It is used for data integrity and password hashing.
YES;Secure Shell;SSH;gluon;;;A cryptographic network protocol used for secure communication between a client and a server. It provides encrypted data transmission and authentication.
YES;Secure Shell Key;SSH Key;gluon;;;Used for authentication in SSH connections. It consists of a public key (stored on the server) and a private key (stored on the client).
YES;Secure Sockets Layer;SSL;gluon;;;Secure Sockets Layer (SSL) is a deprecated predecessor of TLS. SSL was widely used for secure communication but has been replaced by TLS due to security vulnerabilities.
YES;Secure Software Development Life Cycle;S-SDLC;security;;;Secure Software Development Life Cycle (S-SDLC) refers to integrating security practices throughout the software development process.
YES;Secure-File Transport Protocol;SFTP;gluon;;;Secure File Transfer Protocol (SFTP) is a secure version of FTP that uses SSH for encryption and authentication.
YES;Security Assertion Markup Language;SAML, SAML2;security;;;Security Assertion Markup Language (SAML) is an XML-based standard for exchanging authentication and authorization data between parties. SAML enables single sign-on (SSO) across different systems.
YES;Security Context Manager;SCM;front;security;;SCM (Security Context Manager) is a technology that manages security contexts for users or applications. It controls access and permissions based on user roles.
YES;Security Gluon Onboarding;SGOn;security;;;Unfortunately, I couldn't find information on “SGOn.” It might be a specific term or acronym related to a particular context.
YES;Security Information and Event Management;SIEM;security;;;Security Information and Event Management (SIEM) is a technology that combines security information management (SIM) and security event management (SEM). SIEM systems collect, analyze, and correlate security data from various sources to detect and respond to security incidents.
YES;Security Token Service;STS;security;;;Security Token Service (STS) is a component that issues security tokens for authentication and authorization purposes. STSs are commonly used in federated identity systems.
YES;Segregation of Duties;SoD;security;;;A security principle that ensures no single user has excessive control over critical processes or systems. It prevents conflicts of interest and reduces the risk of fraud.
YES;Selenium;;testing;tools;;Selenium is an open-source framework for automating web browsers.
YES;Semantic Versioning;SemVer;release;;;SemVer (Semantic Versioning) is a versioning scheme used for software libraries and packages. It follows a format of MAJOR.MINOR.PATCH and provides rules for version increments.
YES;Serverless;;darwin;;;Serverless computing allows building and running applications without managing servers.
YES;Service Level Agreement;SLA;support;;;Service Level Agreement (SLA) is a contract between a service provider and a customer that defines the expected level of service. SLAs specify response times, availability, and other performance metrics.
YES;Service Level Indicator;SLI;support;;;SLIs are quantitative measurements used to assess the performance of a service. They serve as the basis for defining SLOs and SLAs.
YES;Service Level Objective;Service Level Objective;support;;;SLOs are specific, measurable goals related to service performance. They define acceptable levels of reliability, availability, and responsiveness.
YES;ServiceNow;;gluon;tools;;ServiceNow is a cloud-based platform for IT service management (ITSM) and business process automation. It includes features for incident management, change management, and service requests.
YES;Servlet;;microservice;;;A Servlet is a Java class used for handling HTTP requests and generating dynamic web content. It runs on a web server and follows the Java Servlet API.
YES;Servlet Application;;microservice;;;A Servlet Application is a Java-based web application that runs on a web server. Servlets handle HTTP requests and generate dynamic content.
YES;Simple Authentication and Security Layer;SASL;arsenal;;;Simple Authentication and Security Layer (SASL) is a framework for adding authentication and security features to network protocols.
YES;Simple Object Access Protocol;SOAP;microservice;api;;Simple Object Access Protocol (SOAP) is a messaging protocol used for exchanging structured information in web services. SOAP messages are typically XML-based and can be transported over various protocols.
YES;Single Page Application;SPA;front;;;Single Page Application (SPA) is a web application that loads a single HTML page and dynamically updates content as the user interacts with it. SPAs improve user experience.
YES;Single Sign-On;SSO;front;microservice;security;Single Sign-On (SSO) allows users to authenticate once and access multiple applications without re-entering credentials. SSO improves user experience and security.
YES;Singleton;;api;microservice;;The Singleton pattern restricts the instantiation of a class to a singular instance. It ensures only one object exists and provides easy access to that instance.
YES;Site Reliability Engineering/ Engineer;SRE;testing;;;Site Reliability Engineering (SRE) is a discipline that combines software engineering and systems administration to improve the reliability and performance of large-scale systems. SREs focus on automation, monitoring, and incident response.
YES;Snake Case;snake_case;api;;;Snake case (stylized as snake_case) is the naming convention in which each space is replaced with an underscore (_) character, and words are written in lowercase
YES;Snapshot;;release;;;A snapshot is a point-in-time copy of data or a system state. It is commonly used for backups, version control, and recovery.
YES;Software as a Service;SaaS;api;;;Software delivery  model in which software and platform are provided, allowing tio be operated by entities to implement parts of their business, either consuming or producing APIs.
YES;Software Composition Analysis;SCA;security;testing;;Software Composition Analysis (SCA) is a process of identifying and managing third-party components (libraries, frameworks, etc.) used in software applications. SCA helps detect vulnerabilities and license compliance issues.
YES;Software Development Kits;SDKs;gluon;;;SDKs (Software Development Kits) are sets of tools, libraries, and documentation for building software applications on a specific platform or framework (e.g., Android SDK, AWS SDK).
YES;Software Development Lifecycle;SDLC;gluon;;;Refers to the process of creating high-quality software. It encompasses several well-defined phases, ensuring efficient development, testing, and deployment.
YES;Software Pattern;;microservice;api;front;A software pattern (or software design pattern) is a reusable solution to a common problem in software design. It provides a template for solving specific design issues.
YES;Software Security Center - Fortify;SSC;security;;;Fortify Software Security Center (SSC) is a platform for managing and analyzing application security testing results. It helps organizations track and remediate security issues.
YES;SonarQube;;testing;;;SonarQube is a static code analysis tool that identifies code quality issues, security vulnerabilities, and technical debt in software projects.
YES;Sonatype;;testing;tools;;Sonatype provides tools and services for managing software components and dependencies. It includes Nexus Repository Manager for artifact management.
YES;Source;src;gluon;;;SRC (Source) refers to the source code or original files of a software application.
YES;Source Code Management;SCM;gluon;;;Source Code Management (SCM) refers to tools and practices for managing source code versions. SCM systems include Git, SVN, and Mercurial.
YES;Span;Span;observability;;;A span represents a single operation within a trace. It captures timing information and context for a specific activity, such as an HTTP request or database query. Spans are used in distributed tracing.
YES;Spring Expression Language;SpEL;microservice;darwin;;Spring Expression Language (SpEL) is a language for querying and manipulating objects in Spring Framework. SpEL is used for configuration and dynamic expressions.
YES;Stateful Application;;microservice;front;api;A stateful application maintains and remembers the state or context of a user’s interactions. Stateful applications store data between requests or sessions.
YES;Stateless Application;;microservice;front;api;A stateless application does not retain user state between requests. Each request is independent, and no session data is stored.
YES;Static Application Security Testing;SAST;security;;;Static Application Security Testing (SAST) is a security testing technique that analyzes source code or compiled binaries for vulnerabilities. It identifies issues without executing the application.
YES;Structured Query Language;SQL;gluon;;;Structured Query Language (SQL) is a standard language for managing relational databases. It is used for querying, updating, and managing data.
YES;Swagger;;api;microservice;;Swagger (now known as OpenAPI) is a specification for defining RESTful APIs. It provides a machine-readable format for describing API endpoints, request/response formats, authentication methods, and more.
YES;TalosBDD;;testing;;;Gluon BDD Testing Framework 
YES;Tenant;;infrastructure;;;In cloud computing, a tenant refers to an individual or organization that uses a shared cloud infrastructure. Each tenant's data and resources are isolated from others.
YES;Test Case;TC;testing;;;A specific set of conditions for evaluating a particular feature of a software product to determine its compliance with the business requirements. It specifies the steps, input values, and expected results for testing.
YES;Test Data Management;TDM;testing;;;The process of creating, managing, and maintaining test data for software testing. It ensures that test cases have appropriate data for accurate testing.
YES;Test Suite;TS;testing;;;A logical grouping or collection of test cases to run a single job with different test scenarios. It simplifies managing, executing, and reporting test results.
YES;Test-Driven Development;TDD;testing;;;Test-Driven Development (TDD) is a development methodology where tests are written before writing the actual code. TDD ensures code correctness and maintainability.
YES;Threadlocal;;darwin;;;ThreadLocal is a class in Java that provides thread-local variables. Each thread accessing a ThreadLocal variable has its own independent copy, avoiding thread interference.
YES;Time to Live;TTL;microservice;;;Time to Live is a value that determines how long a resource (such as a DNS record or cache entry) remains valid before it expires.
YES;TLS;TLS;microservice;;;Transport Layer Security (TLS) is a cryptographic protocol that ensures secure communication over a network. TLS is commonly used to encrypt data transmitted between clients and servers.
YES;Token;;security;;;A token is a piece of data used for authentication or authorization. Tokens are commonly used in web applications for user sessions and API access.
YES;Transmission Control Protocol;TCP;gluon;;;TCP (Transmission Control Protocol) is a reliable, connection-oriented protocol used for data transmission over networks. It ensures data integrity and order.
YES;Transmission Control Protocol/Internet Protocol;TCP-IP;gluon;;;TCP-IP (Transmission Control Protocol/Internet Protocol) refers to the suite of protocols used for internet communication. It includes TCP, IP, and other related protocols.
YES;TypeScript;;front;javascript;;TypeScript is a superset of JavaScript that adds static typing. It enhances code quality and provides better tooling for large-scale applications.
YES;Unary - (g)RPC;;arsenal;;;Unary refers to a type of gRPC call where a client sends a single request to the server and receives a single response. It is a simple and common RPC pattern.
YES;UNICODE;;gluon;;;UNICODE is a character encoding standard that represents characters from various writing systems. It ensures consistent representation of text across different platforms.
YES;Unicode Transformation Format 8-bit;UTF-8;gluon;;;UTF-8 (Unicode Transformation Format 8-bit) is a character encoding standard that represents characters using variable-length sequences of 8-bit bytes. It supports a wide range of characters and is commonly used for text files and web content.
YES;Uniform Resource Identifier;URI;front;api;microservice;Uniform Resource Identifier (URI) is a string that identifies a resource. URIs include URLs (web addresses) and URNs (names for resources).
YES;Uniform Resource Locator;URL;front;api;microservice;A Uniform Resource Locator (URL) is a web address that specifies the location of a resource on the internet. URLs are used to access websites, files, and other online content.
YES;Unit Tests;UT;testing;;;Unit tests are small, automated tests that verify the correctness of individual components (units) of a software application. They focus on specific functions or methods.
YES;Universally Unique Identifier;UUID;observability;;;Universally Unique Identifier (UUID) is a 128-bit identifier that is unique across all devices and time. It is commonly used for generating unique keys.
YES;Unsafe Operation;;api;;;Unsafe operations imply a certain degree of criticality in their execution (generation of new resource, alteration of existing resource ...)
YES;User Agent;;front;;;A User Agent is a software application (usually a web browser) that acts on behalf of a user. It sends HTTP requests to web servers and renders web content.
YES;User Experience and User Interface;UX/UI;front;;;User Experience (UX) and User Interface (UI) refer to the overall design and usability of a product. UX focuses on user satisfaction, while UI deals with visual elements and layout.
YES;User Interface;UI;front;;;User Interfaces (UIs) are the visual components of software applications that allow users to interact with the system. UIs can be graphical (GUI) or command-line (CLI).
YES;Validator;;microservice;;;Software component or tool that check the correctness, compliance, or integrity of data, configurations, or input.
YES;Vault;;security;;;A secure storage system for managing secrets, such as API keys, passwords, and encryption keys. It ensures sensitive data is stored securely and can be accessed by authorized applications.
YES;Version Type;versionType;release;;;efers to the type or format of versioning used in software development. It could be semantic versioning (SemVer), incremental versioning, or custom versioning schemes.
YES;Virtualized;;gluon;;;Virtualized refers to running multiple instances of an OS or application on a single physical machine.
YES;Visual Studio Code;VSC;gluon;tools;;A popular open-source code editor developed by Microsoft. It supports various programming languages and extensions.
YES;Web Application Firewall;WAF;infrastructure;api;;A Web Application Firewall (WAF) is a security solution that protects web applications from common attacks, such as SQL injection, cross-site scripting (XSS), and cross-site request forgery (CSRF). WAFs filter and monitor HTTP requests and responses.
YES;Web Client;;front;;;A Web Client is a user interface (such as a web browser) that interacts with web servers to request and display web content.
YES;Web Services Description Language;WSDL;microservice;;;Web Services Description Language (WSDL) is an XML-based language for describing web services. WSDL defines the operations, endpoints, and data types of a service.
